track_id,genre,corpus,kmeans_cluster,hac_cluster
1maQdXRvqcu58cRPJGPZDC,compas,caribbean,0,0
7fQLUCOYcafUT9ZppkUjCj,compas,caribbean,7,6
5vy8UHH3N8G7gJeKdMZhto,compas,caribbean,1,0
5gdTDWskPEc1QlJ4mukqBd,compas,caribbean,7,3
4hMEtRcqIwQN236DnzSJ9D,compas,caribbean,6,0
28UIO1DJniieh8KdJrWu38,compas,caribbean,2,5
2w8po8PRgHeArH9vFedgu5,compas,caribbean,4,4
4dqYIcB0YWsaWamg7sy8yT,compas,caribbean,2,7
3nAd0WfZ6L6JpSUVkSneD4,compas,caribbean,2,7
2DwGRZehHXB56Vvo8XVZrE,compas,caribbean,0,4
0s25z8PjpKE196nyAvMdwL,compas,caribbean,3,1
4crPoq823VZmAnigUrjLz3,compas,caribbean,2,3
4GXkqACWesUbbksmHyy0ij,compas,caribbean,7,6
11aYR5P0rt3S8xoTQAFnsh,compas,caribbean,2,3
2aFUdYM6WFHBWLskha77u0,compas,caribbean,3,0
66MNPmfZD8UyECxytEDlok,compas,caribbean,2,7
7DtOdp6zc9DV1Z7vAiirrm,compas,caribbean,5,7
7mMolOiriMDBnr5n0xgMRv,compas,caribbean,0,0
2DOhcFKSE5fqVwnmZGrE1x,compas,caribbean,3,1
4ZvUXzOIQUJu7iTPTJ3L3o,compas,caribbean,4,3
1ZB5B5ybM3KwNkQyPBeKgA,compas,caribbean,4,3
6ow8GAPTFe4sqwbsZe7bgd,compas,caribbean,2,4
4SRYGZsbHrmH7E9xMVz4Wm,compas,caribbean,5,5
72Hur8MTRFb0vTIPxZAvPD,compas,caribbean,2,4
2LLC986CtUQiGb8xrxXpBC,compas,caribbean,3,1
7wNcauA9rPbdrzd71yvtPR,compas,caribbean,4,3
70HQUSkmOiDpOmNOlrNhf0,compas,caribbean,1,2
0luMzwvDZz5b6qtG5PkB22,compas,caribbean,0,4
0I03sESN9fvEBT2Yxkpauu,compas,caribbean,5,7
7D3DFAxOY8tfLNbi6O0mwZ,compas,caribbean,0,0
2M7tsbIA4VNtWjXJaIw5c3,compas,caribbean,1,2
1HtbpdUHGB42LmP4DBvD0J,compas,caribbean,4,3
0iMLWtTEhvDDAGkQx9urx7,compas,caribbean,4,3
00eEvIf9gSOahDmGrkRabR,compas,caribbean,1,2
3WlGJxoZLaykhlL03bA9hc,compas,caribbean,1,2
0a9ccbWaagKhxLy6uDmDxz,compas,caribbean,7,6
0jD8tRXfyxA05jXfsLLOHg,compas,caribbean,2,5
4tMDplWclTGxKxrnOGJy8J,compas,caribbean,0,4
14kLFobPERs6WKa2jOalp5,compas,caribbean,7,3
6PtvYwIwjxzdiGp75CpSEq,compas,caribbean,3,0
0xIEnoTzcsczU2dT9lDncp,compas,caribbean,2,7
15eypk00X8pfkLSz0Xiky2,compas,caribbean,4,0
79MRKo4YHKkIGAsplt7TSz,compas,caribbean,0,4
3yTE6IOdcYLlV6TnCzjPA1,compas,caribbean,1,2
