feature,cohens_d,abs_d,direction,magnitude
mfcc_2_mean,-0.7080809303794237,0.7080809303794237,westafrica higher,medium
spectral_centroid_mean,0.6473655444564899,0.6473655444564899,caribbean higher,medium
mfcc_1_mean,0.553454646504767,0.553454646504767,caribbean higher,medium
textural_grain_mean,0.5209964613085829,0.5209964613085829,caribbean higher,medium
spectral_bandwidth_mean,0.48445487987221525,0.48445487987221525,caribbean higher,small
mfcc_3_mean,-0.47273529862485947,0.47273529862485947,westafrica higher,small
mfcc_10_mean,0.4652309838753546,0.4652309838753546,caribbean higher,small
mfcc_12_mean,0.4224856585129699,0.4224856585129699,caribbean higher,small
mfcc_9_mean,0.4208599997248618,0.4208599997248618,caribbean higher,small
mfcc_11_mean,0.3655112908498063,0.3655112908498063,caribbean higher,small
lufs_integrated,0.34102989603755607,0.34102989603755607,caribbean higher,small
rms_mean,0.3370350688411187,0.3370350688411187,caribbean higher,small
tempo_bpm,0.31574299095670844,0.31574299095670844,caribbean higher,small
beat_count,0.31232606130889046,0.31232606130889046,caribbean higher,small
chroma_A,0.2845225959562446,0.2845225959562446,caribbean higher,small
chroma_F#,0.2821662419129195,0.2821662419129195,caribbean higher,small
onsets_per_second,-0.2738019099270015,0.2738019099270015,westafrica higher,small
chroma_G#,0.26315531607675074,0.26315531607675074,caribbean higher,small
mean_ibi_sec,-0.2591861395316658,0.2591861395316658,westafrica higher,small
chroma_E,0.24906937673195717,0.24906937673195717,caribbean higher,small
chroma_G,0.2371774777993416,0.2371774777993416,caribbean higher,small
chroma_A#,0.22489926100684118,0.22489926100684118,caribbean higher,small
chroma_D#,0.20942427343438064,0.20942427343438064,caribbean higher,small
ibi_std_sec,-0.19137918239913615,0.19137918239913615,westafrica higher,negligible
chroma_F,0.18895558295937923,0.18895558295937923,caribbean higher,negligible
mfcc_13_mean,0.17765027672772535,0.17765027672772535,caribbean higher,negligible
rms_std,0.1689369062963425,0.1689369062963425,caribbean higher,negligible
dynamic_range_db,-0.16155815009189906,0.16155815009189906,westafrica higher,negligible
mfcc_8_mean,0.1419898694550773,0.1419898694550773,caribbean higher,negligible
mean_beat_strength,0.1196814044466517,0.1196814044466517,caribbean higher,negligible
chroma_D,0.11646058609186971,0.11646058609186971,caribbean higher,negligible
mfcc_4_mean,-0.10237167018441833,0.10237167018441833,westafrica higher,negligible
ssm_mean_affinity,-0.10074503169061619,0.10074503169061619,westafrica higher,negligible
chroma_C#,0.0989090546470591,0.0989090546470591,caribbean higher,negligible
mfcc_6_mean,-0.08090428474017954,0.08090428474017954,westafrica higher,negligible
mfcc_7_mean,0.07702354571021722,0.07702354571021722,caribbean higher,negligible
chroma_B,0.047790147002209224,0.047790147002209224,caribbean higher,negligible
key_correlation,-0.04382205312738636,0.04382205312738636,westafrica higher,negligible
mfcc_5_mean,-0.03137975263437268,0.03137975263437268,westafrica higher,negligible
spectral_flux_mean,-0.024704404975268688,0.024704404975268688,westafrica higher,negligible
log_attack_time_ms,0.01712860704686491,0.01712860704686491,caribbean higher,negligible
chroma_C,0.01624741636244495,0.01624741636244495,caribbean higher,negligible
segment_count,0.0,0.0,westafrica higher,negligible
