caribbean_genre,westafrica_genre,cosine_similarity,euclidean_distance
compas,kora,0.2360752670917361,3.6525318148219967
zouk,afrobeats,0.22271104529938646,2.1206051447493315
zouk,juju,0.1715921779084736,2.13617591728434
calypso_soca,juju,0.05066348791218833,2.538370401096763
zouk,highlife,0.028384986937165735,2.2913037087277393
compas,juju,0.020259292725274713,2.1355883874415222
reggae_dancehall,kora,-0.04563890600907139,4.213081087059635
calypso_soca,afrobeats,-0.05435134922464924,2.7264476114852902
compas,highlife,-0.056145248401243464,2.189868819028174
compas,afrobeats,-0.21190540927989376,2.428244588919149
reggae_dancehall,afrobeats,-0.23524375474352022,2.8269885513956092
reggae_dancehall,highlife,-0.2803890312962294,2.7954287774043465
zouk,kora,-0.3595460942683151,4.546238496087502
reggae_dancehall,juju,-0.37035360979545606,2.9156633845545326
calypso_soca,highlife,-0.5108885540365713,3.174016605965667
calypso_soca,kora,-0.8123469051155698,5.4306636970179945
