Caribbean Genre,Feature,Dimension,Mean (Caribbean),Mean (West African),"p (Dunn's, adj.)",Significant,Direction
calypso_soca,spectral_centroid_mean,Timbre,2576.123,1739.396,0.0,Yes,calypso_soca higher
calypso_soca,mfcc_1_mean,—,-43.93,-150.382,0.0,Yes,calypso_soca higher
calypso_soca,mfcc_2_mean,—,81.306,116.355,0.0,Yes,kora higher
calypso_soca,textural_grain_mean,—,0.029,0.011,0.0,Yes,calypso_soca higher
calypso_soca,rms_mean,Dynamics,0.275,0.18,1e-06,Yes,calypso_soca higher
calypso_soca,lufs_integrated,Dynamics,-12.326,-16.703,1e-06,Yes,calypso_soca higher
calypso_soca,spectral_bandwidth_mean,Timbre,2665.955,2181.466,2e-06,Yes,calypso_soca higher
calypso_soca,chroma_D#,—,0.519,0.348,1.3e-05,Yes,calypso_soca higher
calypso_soca,chroma_G#,—,0.535,0.374,1.4e-05,Yes,calypso_soca higher
calypso_soca,rms_mean,Dynamics,0.275,0.196,1.5e-05,Yes,calypso_soca higher
calypso_soca,chroma_A#,—,0.499,0.345,5.6e-05,Yes,calypso_soca higher
calypso_soca,mfcc_1_mean,—,-43.93,-102.712,6.5e-05,Yes,calypso_soca higher
calypso_soca,lufs_integrated,Dynamics,-12.326,-14.951,6.9e-05,Yes,calypso_soca higher
calypso_soca,mfcc_9_mean,—,-2.64,-7.963,0.000102,Yes,calypso_soca higher
calypso_soca,lufs_integrated,Dynamics,-12.326,-14.969,0.000163,Yes,calypso_soca higher
calypso_soca,chroma_G,—,0.557,0.405,0.000186,Yes,calypso_soca higher
calypso_soca,mfcc_1_mean,—,-43.93,-103.536,0.00019,Yes,calypso_soca higher
calypso_soca,textural_grain_mean,—,0.029,0.019,0.000357,Yes,calypso_soca higher
calypso_soca,rms_mean,Dynamics,0.275,0.207,0.000364,Yes,calypso_soca higher
calypso_soca,mfcc_1_mean,—,-43.93,-92.836,0.00073,Yes,calypso_soca higher
calypso_soca,chroma_C#,—,0.485,0.366,0.000737,Yes,calypso_soca higher
calypso_soca,spectral_centroid_mean,Timbre,2576.123,2215.509,0.001481,Yes,calypso_soca higher
calypso_soca,mfcc_11_mean,—,-0.742,-4.63,0.001788,Yes,calypso_soca higher
calypso_soca,spectral_flux_mean,—,1.817,1.563,0.008153,Yes,calypso_soca higher
calypso_soca,mfcc_2_mean,—,81.306,96.191,0.009743,Yes,highlife higher
calypso_soca,rms_std,—,0.091,0.067,0.010932,Yes,calypso_soca higher
calypso_soca,onsets_per_second,—,5.321,4.687,0.012264,Yes,calypso_soca higher
calypso_soca,mfcc_2_mean,—,81.306,95.37,0.016374,Yes,juju higher
calypso_soca,textural_grain_mean,—,0.029,0.02,0.017222,Yes,calypso_soca higher
calypso_soca,spectral_centroid_mean,Timbre,2576.123,2229.862,0.019503,Yes,calypso_soca higher
calypso_soca,rms_std,—,0.091,0.07,0.021689,Yes,calypso_soca higher
calypso_soca,spectral_bandwidth_mean,Timbre,2665.955,2464.323,0.027032,Yes,calypso_soca higher
calypso_soca,chroma_F#,—,0.523,0.423,0.038388,Yes,calypso_soca higher
calypso_soca,ssm_mean_affinity,—,0.018,0.02,0.039697,Yes,highlife higher
calypso_soca,chroma_G#,—,0.535,0.455,0.042484,Yes,calypso_soca higher
calypso_soca,mfcc_9_mean,—,-2.64,-6.133,0.050231,No,calypso_soca higher
calypso_soca,chroma_D#,—,0.519,0.415,0.057307,No,calypso_soca higher
calypso_soca,chroma_D,—,0.496,0.391,0.066443,No,calypso_soca higher
calypso_soca,textural_grain_mean,—,0.029,0.021,0.073349,No,calypso_soca higher
calypso_soca,chroma_E,—,0.536,0.428,0.076232,No,calypso_soca higher
calypso_soca,mfcc_12_mean,—,2.995,-0.162,0.087157,No,calypso_soca higher
calypso_soca,chroma_F,—,0.537,0.437,0.089252,No,calypso_soca higher
calypso_soca,mfcc_2_mean,—,81.306,91.258,0.106734,No,afrobeats higher
calypso_soca,ssm_mean_affinity,—,0.018,0.019,0.114452,No,afrobeats higher
calypso_soca,chroma_E,—,0.536,0.445,0.202144,No,calypso_soca higher
calypso_soca,ssm_mean_affinity,—,0.018,0.019,0.203926,No,kora higher
calypso_soca,spectral_bandwidth_mean,Timbre,2665.955,2479.043,0.219003,No,calypso_soca higher
calypso_soca,chroma_C,—,0.498,0.406,0.235429,No,calypso_soca higher
calypso_soca,mfcc_12_mean,—,2.995,0.261,0.252217,No,calypso_soca higher
calypso_soca,rms_std,—,0.091,0.108,0.253735,No,afrobeats higher
calypso_soca,lufs_integrated,Dynamics,-12.326,-13.813,0.278694,No,calypso_soca higher
calypso_soca,mfcc_11_mean,—,-0.742,-2.685,0.306074,No,calypso_soca higher
calypso_soca,spectral_centroid_mean,Timbre,2576.123,2336.712,0.328357,No,calypso_soca higher
calypso_soca,mfcc_11_mean,—,-0.742,-3.138,0.336073,No,calypso_soca higher
calypso_soca,rms_mean,Dynamics,0.275,0.237,0.517636,No,calypso_soca higher
calypso_soca,chroma_F#,—,0.523,0.454,0.614189,No,calypso_soca higher
calypso_soca,chroma_G,—,0.557,0.488,0.669878,No,calypso_soca higher
calypso_soca,chroma_D,—,0.496,0.548,0.726787,No,juju higher
calypso_soca,mean_beat_strength,—,6.177,6.889,0.848805,No,afrobeats higher
calypso_soca,mean_beat_strength,—,6.177,6.716,1.0,No,highlife higher
calypso_soca,mean_beat_strength,—,6.177,6.242,1.0,No,juju higher
calypso_soca,mean_beat_strength,—,6.177,5.345,1.0,No,calypso_soca higher
calypso_soca,rms_std,—,0.091,0.077,1.0,No,calypso_soca higher
calypso_soca,spectral_flux_mean,—,1.817,1.804,1.0,No,calypso_soca higher
calypso_soca,spectral_flux_mean,—,1.817,1.865,1.0,No,juju higher
calypso_soca,spectral_flux_mean,—,1.817,1.898,1.0,No,afrobeats higher
calypso_soca,onsets_per_second,—,5.321,5.369,1.0,No,highlife higher
calypso_soca,onsets_per_second,—,5.321,5.663,1.0,No,juju higher
calypso_soca,onsets_per_second,—,5.321,5.12,1.0,No,calypso_soca higher
calypso_soca,chroma_D#,—,0.519,0.54,1.0,No,juju higher
calypso_soca,chroma_D#,—,0.519,0.453,1.0,No,calypso_soca higher
calypso_soca,chroma_G#,—,0.535,0.527,1.0,No,calypso_soca higher
calypso_soca,chroma_G#,—,0.535,0.506,1.0,No,calypso_soca higher
calypso_soca,chroma_A#,—,0.499,0.483,1.0,No,calypso_soca higher
calypso_soca,chroma_A#,—,0.499,0.505,1.0,No,juju higher
calypso_soca,chroma_A#,—,0.499,0.436,1.0,No,calypso_soca higher
calypso_soca,mfcc_9_mean,—,-2.64,-4.049,1.0,No,calypso_soca higher
calypso_soca,mfcc_9_mean,—,-2.64,-5.027,1.0,No,calypso_soca higher
calypso_soca,chroma_G,—,0.557,0.535,1.0,No,calypso_soca higher
calypso_soca,chroma_G,—,0.557,0.56,1.0,No,afrobeats higher
calypso_soca,mean_ibi_sec,Duration,0.504,0.534,1.0,No,highlife higher
calypso_soca,mean_ibi_sec,Duration,0.504,0.498,1.0,No,calypso_soca higher
calypso_soca,mean_ibi_sec,Duration,0.504,0.506,1.0,No,kora higher
calypso_soca,mean_ibi_sec,Duration,0.504,0.527,1.0,No,afrobeats higher
calypso_soca,tempo_bpm,Tempo,121.83,114.17,1.0,No,calypso_soca higher
calypso_soca,tempo_bpm,Tempo,121.83,122.341,1.0,No,juju higher
calypso_soca,tempo_bpm,Tempo,121.83,123.678,1.0,No,kora higher
calypso_soca,tempo_bpm,Tempo,121.83,115.843,1.0,No,calypso_soca higher
calypso_soca,beat_count,Duration,58.893,54.467,1.0,No,calypso_soca higher
calypso_soca,beat_count,Duration,58.893,59.172,1.0,No,juju higher
calypso_soca,beat_count,Duration,58.893,59.767,1.0,No,kora higher
calypso_soca,beat_count,Duration,58.893,56.167,1.0,No,calypso_soca higher
calypso_soca,spectral_bandwidth_mean,Timbre,2665.955,2614.208,1.0,No,calypso_soca higher
calypso_soca,chroma_C#,—,0.485,0.435,1.0,No,calypso_soca higher
calypso_soca,chroma_C#,—,0.485,0.536,1.0,No,juju higher
calypso_soca,chroma_C#,—,0.485,0.476,1.0,No,calypso_soca higher
calypso_soca,mfcc_12_mean,—,2.995,1.225,1.0,No,calypso_soca higher
calypso_soca,mfcc_12_mean,—,2.995,2.099,1.0,No,calypso_soca higher
calypso_soca,dynamic_range_db,Dynamics,34.344,54.111,1.0,No,highlife higher
calypso_soca,dynamic_range_db,Dynamics,34.344,40.823,1.0,No,juju higher
calypso_soca,dynamic_range_db,Dynamics,34.344,39.1,1.0,No,kora higher
calypso_soca,dynamic_range_db,Dynamics,34.344,40.508,1.0,No,afrobeats higher
calypso_soca,chroma_F,—,0.537,0.482,1.0,No,calypso_soca higher
calypso_soca,chroma_F,—,0.537,0.474,1.0,No,calypso_soca higher
